top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1, OFF ,0, Wallace ,0, True , svt ,0.8,18.451,0.966,0.025975606,1.6422,0.025975606,0.025975606,18.1302,16.482,0.79,0.020711124,1.5816,0.020711124,0.020711124,0,0,0.020711124,0,0,20.2961,18.451,0.966,0.025975606,1.6422,0.025975606,0.025975606,0,0,,,,,,,,,,,,0.608939228,0.632271118,0.608939228,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,22.8338,20.758,1.08,0.020711124,1.1,0.020711124,0.020711124,0,0,0.020711124,  ,  ,25.5651,23.241,1.33,0.025975606,1.164,0.025975606,0.025975606,0,0,,,,,,,,,,,,  ,0.909090909,0.859106529,
1, OFF ,0, Wallace ,0, True , svt ,0.9,23.241,1.33,0.025975606,1.164,0.025975606,0.025975606,22.8338,20.758,1.08,0.020711124,1.1,0.020711124,0.020711124,0,0,0.020711124,0,0,25.5651,23.241,1.33,0.025975606,1.164,0.025975606,0.025975606,0,0,,,,,,,,,,,,0.859106529,0.909090909,0.859106529,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,28.2062,25.642,1.46,0.020711124,0.8521,0.020711124,0.020711124,0,0,0.020711124,  ,  ,31.5898,28.718,1.79,0.025975606,0.9056,0.025975606,0.025975606,0,0,,,,,,,,,,,,  ,1.173571177,1.104240283,
1, OFF ,0, Wallace ,0, True , svt ,1,28.718,1.79,0.025975606,0.9056,0.025975606,0.025975606,28.2062,25.642,1.46,0.020711124,0.8521,0.020711124,0.020711124,0,0,0.020711124,0,0,31.5898,28.718,1.79,0.025975606,0.9056,0.025975606,0.025975606,0,0,,,,,,,,,,,,1.104240283,1.173571177,1.104240283,
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,16.974,14.145,0.723,0.018116456,1.7025,0.018116456,0.018116456,0,0,0.018116456,  ,  ,14.2872,11.906,0.576,0.017934059,1.7415,0.017934059,0.017934059,0,0,,,,,,,,,,,,  ,0.587371512,0.574217628,
1, OFF ,0, Wallace ,0, True , svt ,0.8,11.906,0.576,0.017934059,1.7415,0.017934059,0.017934059,16.974,14.145,0.723,0.018116456,1.7025,0.018116456,0.018116456,0,0,0.018116456,0,0,14.2872,11.906,0.576,0.017934059,1.7415,0.017934059,0.017934059,0,0,,,,,,,,,,,,0.574217628,0.587371512,0.574217628,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,21.372,17.81,0.992,0.018116456,1.1996,0.018116456,0.018116456,0,0,0.018116456,  ,  ,17.9784,14.982,0.788,0.017934059,1.2368,0.017934059,0.017934059,0,0,,,,,,,,,,,,  ,0.833611204,0.808538163,
1, OFF ,0, Wallace ,0, True , svt ,0.9,14.982,0.788,0.017934059,1.2368,0.017934059,0.017934059,21.372,17.81,0.992,0.018116456,1.1996,0.018116456,0.018116456,0,0,0.018116456,0,0,17.9784,14.982,0.788,0.017934059,1.2368,0.017934059,0.017934059,0,0,,,,,,,,,,,,0.808538163,0.833611204,0.808538163,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,26.4,22,1.34,0.018116456,0.9255,0.018116456,0.018116456,0,0,0.018116456,  ,  ,22.188,18.49,1.06,0.017934059,0.9583,0.017934059,0.017934059,0,0,,,,,,,,,,,,  ,1.080497029,1.043514557,
